,name,faction,loyalty,text,traits,card type,image name,cost,command,attack,health,shields,cycle,war pack,keywords,useful_quantities
10,Land Raider,Space Marines,Common,"No Wargear Attachments.
 Non-Vehicle units you control at this planet cannot be targeted by enemy card abilities.",Vehicle. Tank. Elite.,Army,Land_Raider,5,3,3,7,0,Core Set,Core Set,No Wargear Attachments.,3
11,Ultramarines Dreadnought,Space Marines,Loyal,No Wargear Attachments.,Vehicle. Ultramarines. Elite.,Army,Ultramarines_Dreadnought,6,0,8,8,0,Core Set,Core Set,No Wargear Attachments.,3
12,Veteran Brother Maxos,Space Marines,Loyal,Combat Action: Pay the printed cost of a Space Marines unit in your hand to put it into play at this planet.,Soldier. Ultramarines.,Army,Veteran_Brother_Maxos,3,2,2,3,0,Core Set,Core Set,Unique.,3
13,Eager Recruit,Space Marines,Common,Ambush. (You may deploy this card during the combat phase.),Scout. Ultramarines.,Army,Eager_Recruit,1,0,2,1,0,Core Set,Core Set,Ambush.,3
14,Iron Hands Techmarine,Space Marines,Common,This unit gains 1 command icon for each enemy unit at this planet.,Soldier. Iron Hands.,Army,Iron_Hands_Techmarine,3,1,1,3,0,Core Set,Core Set,,3
15,Raven Guard Speeder,Space Marines,Common,"No Wargear Attachments.
 Flying. (This unit takes half damage from non-Flying units.)",Vehicle. Raven Guard.,Army,Raven_Guard_Speeder,4,2,3,3,0,Core Set,Core Set,No Wargear Attachments.Flying.,3
16,Deathwing Guard,Space Marines,Loyal,,Soldier. Dark Angels. Elite.,Army,Deathwing_Guard,5,4,2,9,0,Core Set,Core Set,,3
17,Drop Pod Assault,Space Marines,Loyal,"Combat Action: Target a planet where a battle is taking place. Search the top 6 cards for a Space Marines unit with printed cost 3 or lower. Put that unit into play at the targeted planet, and place the remaining cards on the bottom of your deck in any order.",Tactic.,Event,Drop_Pod_Assault,2,-1,-1,-1,2,Core Set,Core Set,,3
18,Indomitable,Space Marines,Common,"Reaction: After a Space Marines unit is assigned damage by an attack, prevent all of that damage.",Power.,Event,Indomitable,1,-1,-1,-1,1,Core Set,Core Set,,3
19,Exterminatus,Space Marines,Common,Deploy Action: Destroy all non-unique units at a target non-first planet.,Tactic.,Event,Exterminatus,3,-1,-1,-1,1,Core Set,Core Set,,3
20,Godwyn Pattern Bolter,Space Marines,Common,"Attach to an army unit.
Attached unit gets +1 ATK, +1HP, and while attacking ignores the Flying keyword on enemy units.",Wargear. Weapon.,Attachment,Godwyn_Pattern_Bolter,1,-1,-1,-1,1,Core Set,Core Set,,3
21,Iron Halo,Space Marines,Loyal,"Limit 1 Relic per player.
Attach to a unique unit.
Reaction: After attached unit is assigned damage by an attack, exhaust this attachment to prevent all of that damage.",Relic. Wargear.,Attachment,Iron_Halo,3,-1,-1,-1,2,Core Set,Core Set,Unique.,3
22,Fortress-Monastery,Space Marines,Common,"Limited.
Interrupt: When you deploy a Space Marines unit, exhaust this support to reduce that unit's cost by 1.",Location.,Support,Fortress-Monastery,1,-1,-1,-1,0,Core Set,Core Set,Limited.Unique.,3
23,Holy Sepulchre,Space Marines,Common,"Reaction: After a Space Marines unit enters your discard pile, exhaust this support to return that unit to your hand.",Location,Support,Holy_Sepulchre,2,-1,-1,-1,0,Core Set,Core Set,,3
24,Veteran Barbrus,Space Marines,Loyal,"Ambush.
Reaction: After this unit enters play, deal 2 damage to a target army unit at this planet. This ability cannot target Space Marines, Astra Militarum, or Chaos units.",Soldier. Deathwatch.,Army,Veteran_Barbrus,4,2,2,4,0,The Great Devourer,The Great Devourer,Ambush.Unique.,3
25,Vengeance!,Space Marines,Common,"Reaction: After a unit you control is destroyed by an attack, ready a target Space Marines army unit you control at that planet.",Tactic.,Event,Vengeance!,1,-1,-1,-1,1,The Great Devourer,The Great Devourer,,3
26,Ravenwing Escort,Space Marines,Common,"While you control a non-Space Marines warlord, this unit gains Mobile.
Combat Action: Exhaust this unit to move an army unit you control at this planet to another planet.",Scout. Dark Angels.,Army,Ravenwing_Escort,4,1,2,3,0,Legions of Death,Legions of Death,,3
27,Ragnar Blackmane,Space Marines,Signature,"Reaction: After your warlord commits to a planet with an enemy warlord, deal 2 damage to a target enemy unit at that planet.",Soldier. Space Wolves.,Warlord,Ragnar_Blackmane,-1,-1,2,7,0,Warlord Cycle,The Howl of Blackmane,Unique.,1
28,Blackmane Sentinel,Space Marines,Signature,"Reaction: After your warlord commits to a planet, move this unit to that planet.",Soldier. Space Wolves.,Army,Blackmane_Sentinel,2,1,2,2,0,Warlord Cycle,The Howl of Blackmane,,4
29,Frostfang,Space Marines,Signature,"Attach to a Space Wolves unit.
Attached unit gets +2 ATK and +2 HP while it is at a planet with an enemy warlord.",Relic. Wargear. Weapon.,Attachment,Frostfang,2,-1,-1,-1,3,Warlord Cycle,The Howl of Blackmane,Unique.,1
30,Ragnar's Warcamp,Space Marines,Signature,Each Space Wolves unit you control at a planet with your warlord deals double damage while attacking an enemy warlord.,Location.,Support,Ragnar's_Warcamp,3,-1,-1,-1,0,Warlord Cycle,The Howl of Blackmane,Unique.,1
31,Blackmane's Hunt,Space Marines,Signature,"Reaction: After your warlord commits to a planet, commit your warlord to an adjacent planet.",Tactic.,Event,Blackmane's_Hunt,0,-1,-1,-1,1,Warlord Cycle,The Howl of Blackmane,,2
32,Morkai Rune Priest,Space Marines,Loyal,"Forced Interrupt: When a non-Space Wolves unit retreats from this planet, deal 1 damage to that unit.",Psyker. Space Wolves.,Army,Morkai_Rune_Priest,4,1,3,4,0,Warlord Cycle,The Scourge,,3
33,Fenrisian Wolf,Space Marines,Common,"Attach to an army unit.
Reaction: After a battle at this planet begins, exhaust attached unit to deal damage equal to its ATK value to a target army unit at the same planet.",Creature.,Attachment,Fenrisian_Wolf,2,-1,-1,-1,1,Warlord Cycle,The Scourge,,3
34,White Scars Bikers,Space Marines,Common,This unit gets +2 ATK while it is at a planet with a warlord.,Soldier. White Scars.,Army,White_Scars_Bikers,3,1,2,3,0,Warlord Cycle,Gift of the Ethereals,,3
35,Know No Fear,Space Marines,Common,"Deploy Action: Exhaust your warlord to move up to 3 Space Marines units from your HQ, each to a different planet.",Tactic. Maneuver.,Event,Know_No_Fear,1,-1,-1,-1,1,Warlord Cycle,Gift of the Ethereals,,3
36,Crushing Blow,Space Marines,Common,"Reaction: After a Space Marines unit damages an enemy unit, deal 1 unpreventable damage to that enemy unit.",Tactic.,Event,Crushing_Blow,0,-1,-1,-1,1,Warlord Cycle,Gift of the Ethereals,,3
37,Blood Claw Pack,Space Marines,Common,"Reaction: After an enemy warlord commits to this planet, exhaust this unit to put a Space Wolves unit into play from your hand at this planet.",Soldier. Space Wolves.,Army,Blood_Claw_Pack,3,1,2,2,0,Warlord Cycle,Zogwort's Curse,,3
38,Rally the Charge,Space Marines,Common,"Action: Until the end of the phase, a target Space Marines unit you control at a planet with your warlord gets +2 ATK for each command icon it has.",Tactic.,Event,Rally_the_Charge,2,-1,-1,-1,1,Warlord Cycle,Zogwort's Curse,,3
39,Secluded Apothecarion,Space Marines,Loyal,"Reaction: After a Space Marines unit you control is destroyed, exhaust this support to gain 1 RESOURCE.",Location.,Support,Secluded_Apothecarion,1,-1,-1,-1,0,Warlord Cycle,Zogwort's Curse,,3
40,Firedrake Terminators,Space Marines,Common,"Reaction: After this unit is declared as a defender, deal 1 damage to the attacker.",Soldier. Salamanders. Elite.,Army,Firedrake_Terminators,5,2,3,6,0,Warlord Cycle,The Threat Beyond,,3
41,Imperial Fists Siege Force,Space Marines,Common,"Reaction: After you deploy this unit, rout 1 or more target Ally units at this planet.",Soldier. Imperial Fists.,Army,Imperial_Fists_Siege_Force,2,1,2,2,0,Warlord Cycle,The Threat Beyond,,3
42,Nocturne-Ultima Storm Bolter,Space Marines,Loyal,"Attach to an army unit.
After attached unit damages an enemy unit by an attack, deal damage equal to the attached unit's ATK value to another target unit at the same planet.",Wargear. Weapon.,Attachment,Nocturne-Ultima_Storm_Bolter,3,-1,-1,-1,2,Warlord Cycle,The Threat Beyond,,3
43,Space Wolves Predator,Space Marines,Common,"No Wargear Attachments.
Reaction: After you deploy this unit, your opponent cannot commit his warlord to this planet this round unless it is the only planet in play.",Vehicle. Space Wolves. Elite.,Army,Space_Wolves_Predator,7,3,5,5,0,Warlord Cycle,Descendants of Isha,No Wargear Attachments.,3
44,Primal Howl,Space Marines,Loyal,"Reaction: After your warlord commits to a planet with an enemy warlord, draw 3 cards. Max 1 per round.",Power. Space Wolves.,Event,Primal_Howl,0,-1,-1,-1,2,Warlord Cycle,Descendants of Isha,,3
45,Hallow Librarium,Space Marines,Common,Action: Exhaust this support to have a target unit at a planet without an enemy warlord get -2 ATK until the end of the phase.,Location.,Support,Hallow_Librarium,2,-1,-1,-1,0,Warlord Cycle,Descendants of Isha,,3
46,Lone Wolf,Space Marines,Loyal,Action: Exhaust this unit to move it to a target planet with an enemy warlord and without any unit you control.,Soldier. Space Wolves.,Army,Lone_Wolf,3,1,3,3,0,Planetfall Cycle,Decree of Ruin,,3
47,Righteous Initiate,Space Marines,Common,"UNSTOPPABLE - The first time this unit is assigned damage this round, prevent 1 of that damage and this unit gets +2 ATK until the end of the phase.",Soldier. Black Templars.,Army,Righteous_Initiate,2,1,1,2,0,Planetfall Cycle,Decree of Ruin,Unstoppable.,3
48,Accept Any Challenge,Space Marines,Common,"Reaction: After you win a battle at a Tech planet (blue), draw 1 card for each Black Templars unit you control at that planet. (Max 1 per round.)",Tactic. Vow.,Event,Accept_Any_Challenge,1,-1,-1,-1,1,Planetfall Cycle,Decree of Ruin,,3
49,Neophyte Apprentice,Space Marines,Common,"Forced Reaction: After this unit damages an enemy unit by an attack, sacrifice it to search the top 6 cards of your deck for a Black Templars unit with cost 4 or lower. Put that unit into play at this planet, and shuffle the remaining cards into your deck.",Ally. Black Templars. Soldier.,Army,Neophyte_Apprentice,1,1,1,1,0,Planetfall Cycle,Boundless Hate,,3
50,The Black Sword,Space Marines,Loyal,"Attach to a Black Templars army unit.
Reaction: After attached unit is declared as a defender, deal 2 damage to the attacker.",Relic. Weapon.,Attachment,The_Black_Sword,2,-1,-1,-1,2,Planetfall Cycle,Boundless Hate,Unique.,3
51,Imperial Fists Devastators,Space Marines,Common,"Reaction: After you deploy this unit to a Tech planet (blue), destroy a target Location support card.",Soldier. Imperial Fists.,Army,Imperial_Fists_Devastators,4,2,4,3,0,Planetfall Cycle,Deadly Salvage,,3
52,Teleportarium,Space Marines,Common,Action: Exhaust this support to move a Space Marines army unit you control with printed cost 3 or lower from a Tech planet (blue) to an adjacent planet.,Location.,Support,Teleportarium,2,-1,-1,-1,0,Planetfall Cycle,Deadly Salvage,,3
53,Sword Brethren Dreadnought,Space Marines,Loyal,"No Wargear Attachments.
UNSTOPPABLE - The first time this unit is assigned damage this round, prevent 1 of that damage and you may trigger the Battle ability of this planet.",Vehicle. Black Templars. Elite.,Army,Sword_Brethren_Dreadnought,7,3,5,6,0,Planetfall Cycle,What Lurks Below,No Wargear Attachments.Unstoppable.,3
54,Declare the Crusade,Space Marines,Common,"Reaction: After you win a battle at a Tech planet (blue), choose another planet in play and a planet that has been removed from the game. Switch the chosen planets.",Tactic.,Event,Declare_the_Crusade,2,-1,-1,-1,1,Planetfall Cycle,What Lurks Below,,3
55,Cenobyte Servitor,Space Marines,Common,"Attach to a Black Templars unit.
Attached unit gets +1 HP.
Action: Sacrifice this attachment to put a Relic attachment into play from your hand attached to an eligible unit.",Drone.,Attachment,Cenobyte_Servitor,1,-1,-1,-1,1,Planetfall Cycle,What Lurks Below,,3
56,Chaplain Mavros,Space Marines,Signature,Action: Deal 1 damage to a target Space Marines unit you control at a Tech planet (blue). The targeted unit gets +1 ATK until the end of the phase. (Limit twice per phase.),Soldier. Black Templars.,Warlord,Chaplain_Mavros,-1,-1,2,7,0,Planetfall Cycle,Wrath of the Crusaders,Unique.,1
57,Reclusiam Templars,Space Marines,Signature,"UNSTOPPABLE - The first time this unit is assigned damage this round, prevent 1 of that damage and ready this unit.",Soldier. Black Templars.,Army,Reclusiam_Templars,3,1,2,3,0,Planetfall Cycle,Wrath of the Crusaders,Unstoppable.,3
58,The Emperor's Champion,Space Marines,Signature,"Combat Action: A target ready enemy army unit at this planet must be declared as an attacker and this unit declared as a defender during your opponent's next combat turn, if able. (Limit once per combat phase.)",Soldier. Black Templars. Elite.,Army,The_Emperor's_Champion,5,2,3,6,0,Planetfall Cycle,Wrath of the Crusaders,Unique.,1
59,Faith and Hatred,Space Marines,Signature,"Reaction: After a unit you control is assigned damage by an attack, exhaust this support to prevent 1 of that damage.",Creed.,Support,Faith_and_Hatred,0,-1,-1,-1,0,Planetfall Cycle,Wrath of the Crusaders,,1
60,Vow of Honor,Space Marines,Signature,"Reaction: After a Space Marines unit you control takes damage, that unit gets +3 ATK for its next attack this phase.",Power. Vow.,Event,Vow_of_Honor,1,-1,-1,-1,1,Planetfall Cycle,Wrath of the Crusaders,,2
61,Ancient Crozius Arcanum,Space Marines,Signature,"Attach to a unit you control.
Attached unit gains, “Unstoppable - The first time this unit is assigned damage this round, prevent 1 of that damage and remove 1 damage from this unit.”",Wargear. Weapon.,Attachment,Ancient_Crozius_Arcanum,1,-1,-1,-1,3,Planetfall Cycle,Wrath of the Crusaders,,1
62,Reliquary Techmarine,Space Marines,Common,"While this unit is at a Tech planet (blue), it gains: +1 card when command struggle won at this planet.",Soldier. Black Templars. Ally.,Army,Reliquary_Techmarine,3,1,2,4,0,Planetfall Cycle,The Final Gambit,,3
63,Crypt of Saint Camila,Space Marines,Loyal,Deploy Action: Exhaust this support to put a non-Elite Space Marines unit into play from your hand at a Tech planet (blue). (Limit once per phase.),Location. Ecclesiarchy.,Support,Crypt_of_Saint_Camila,4,-1,-1,-1,0,Planetfall Cycle,The Final Gambit,Unique.,3
64,8th Company Assault Squad,Space Marines,Common,"Deep Strike (2).
Reaction: After you Deep Strike this unit, ready a target Space Marines unit at this planet.",Soldier. Dark Angels.,Army,8th_Company_Assault_Squad,3,1,3,3,0,Death World Cycle,Jungles of Nectavus,Deep Strike.,3
65,Valkyris Pattern Jump Pack,Space Marines,Loyal,"Deep Strike (0).
Attach to an army unit you control.
Attached unit gains Flying.",Wargear.,Attachment,Valkyris_Pattern_Jump_Pack,2,-1,-1,-1,2,Death World Cycle,Jungles of Nectavus,Deep Strike.,3
66,Epistolary Vezuel,Space Marines,Signature,"Reaction: After you Deep Strike a card, draw 1 card.",Dark Angels. Psyker.,Warlord,Epistolary_Vezuel,-1,-1,2,6,0,Death World Cycle,Unforgiven,Unique.,1
67,Vezuel's Hunters,Space Marines,Signature,"Deep Strike (1).
Reaction: After you Deep Strike this unit, deal 2 damage to a target enemy army unit at this planet.",Soldier. Dark Angels.,Army,Vezuel's_Hunters,3,1,2,2,0,Death World Cycle,Unforgiven,Deep Strike.,4
68,Dark Angels Cruiser,Space Marines,Signature,Deploy Action: Exhaust this support to put a target unit you control at a planet in reserve.,Dark Angels. Upgrade.,Support,Dark_Angels_Cruiser,0,-1,-1,-1,0,Death World Cycle,Unforgiven,,1
69,Unseen Strike,Space Marines,Signature,"Deep Strike (1).
Reaction: After you Deep Strike this event, you gain the initiative in this battle.",Tactic.,Event,Unseen_Strike,-1,-1,-1,-1,1,Death World Cycle,Unforgiven,Deep Strike.,2
70,Fulgaris,Space Marines,Signature,"Attach to your warlord.
Reaction: After you Deep Strike a card, attached unit gets +1 ATK and +1 HP until the end of the phase.",Wargear. Weapon.,Attachment,Fulgaris,1,-1,-1,-1,3,Death World Cycle,Unforgiven,Unique.,1
71,Salamander Flamer Squad,Space Marines,Common,"Area Effect (1).
Reaction: After this unit readies, deal 1 damage to each enemy unit damaged by this unit this phase.",Soldier. Salamanders.,Army,Salamander_Flamer_Squad,4,2,2,5,0,Death World Cycle,Slash and Burn,Area Effect.,3
72,Techmarine Aspirant,Space Marines,Common,"Each Elite unit you control at this planet gains, “Action: Pay 1 RESOURCE to ready this unit. (Limit once per round.)”",Soldier. Dark Angels.,Army,Techmarine_Aspirant,2,1,1,3,0,Death World Cycle,Slash and Burn,,3
73,Deathstorm Drop Pod,Space Marines,Common,"Reaction: After you Deep Strike a card, deal 1 damage to an enemy army unit at the same planet as that card.",Upgrade. Artillery.,Support,Deathstorm_Drop_Pod,1,-1,-1,-1,0,Death World Cycle,Slash and Burn,,3
74,Deathwing Terminators,Space Marines,Common,"Deep Strike (3).
Reaction: After you Deep Strike this unit, it cannot be targeted by enemy card effects until the end of the first combat round.",Soldier. Dark Angels. Elite.,Army,Deathwing_Terminators,5,2,4,5,0,Death World Cycle,Searching for Truth,Deep Strike.,3
75,Repent!,Space Marines,Common,"Action: Each player exhausts a unit he controls with the highest printed cost among units he controls. Then, each unit exhausted by this effect deals X damage, where X is its ATK value, to the other player's unit exhausted by this effect.",Tactic.,Event,Repent!,2,-1,-1,-1,1,Death World Cycle,Searching for Truth,,3
76,Dark Angels Vindicator,Space Marines,Common,"No Wargear Attachments.
While this unit is attacking it gets +2 ATK for each command icon the defender has.",Vehicle. Tank. Dark Angels.,Army,Dark_Angels_Vindicator,4,2,1,5,0,Death World Cycle,Against the Great Enemy,No Wargear Attachments.,3
77,Imperial Power Fist,Space Marines,Common,"Attach to an army unit you control.
While each other unit you control at this planet is exhausted, attached unit gets +5 ATK.",Wargear. Weapon.,Attachment,Imperial_Power_Fist,2,-1,-1,-1,1,Death World Cycle,Against the Great Enemy,,3
78,Iron Hands Centurion,Space Marines,Common,"While this unit is ready, each unit with printed cost 2 or lower at this planet cannot be declared as an attacker.",Soldier. Iron Hands. Elite.,Army,Iron_Hands_Centurion,5,3,3,7,0,Death World Cycle,The Warp Unleashed,,3
79,Land Speeder Vengeance,Space Marines,Loyal,"Area Effect (3).
 Flying.
 No Wargear Attachments.",Vehicle. Dark Angels. Elite.,Army,Land_Speeder_Vengeance,6,1,4,3,0,Death World Cycle,The Warp Unleashed,No Wargear Attachments.Area Effect.,3
80,Standard of Devastation,Space Marines,Common,"Reaction: After a Dark Angels unit you control is destroyed, each other Space Marines army unit you control gets +1 ATK until the end of the phase.",Relic. Upgrade.,Support,Standard_of_Devastation,3,-1,-1,-1,0,Death World Cycle,The Warp Unleashed,Unique.,3
81,Avenging Squad,Space Marines,Common,"Retaliate (1).
Reaction: After another unit you control at this planet is dealt damage by an enemy unit, this unit gains Retaliate (1) until the end of the phase.",Soldier. Ultramarines.,Army,Avenging_Squad,1,1,1,2,0,Chronicles of Heroes,Chronicles of Heroes,Retaliate.,3
82,Command Predator,Space Marines,Common,"No Wargear Attachments.
Reaction: After a combat turn during which this unit was an attacker ends, take a combat turn. (Limit once per phase.)",Vehicle. Tank. Elite.,Army,Command_Predator,5,2,4,5,0,Confrontation Cycle,By Imperial Decree,No Wargear Attachments.,3
83,Deathwing Interceders,Space Marines,Common,"Deep Strike (2).
Interrupt: When an enemy unit would declare an attack against a unit you control at this planet, Deep Strike this unit to declare it as the defender instead. If this unit is still in play at the end of the phase, return it to your hand.",Soldier. Dark Angels.,Army,Deathwing_Interceders,3,0,2,4,0,Navida Prime Cycle,Enemy Territory,Deep Strike.,3
84,Dodging Land Speeder,Space Marines,Loyal,"No Wargear Attachments.
Deep Strike (1). Flying.
Cannot be damaged by Area Effect.
Interrupt: When this unit is chosen as a defender, exhaust it and move it to an adjacent planet to cancel the attack.",Vehicle. Dark Angels.,Army,Dodging_Land_Speeder,2,1,3,1,0,Chronicles of Heroes,Chronicles of Heroes,No Wargear Attachments.Flying.Deep Strike.,3
85,Dutiful Castellan,Space Marines,Loyal,"While you control an Ecclesiarchy unit, reduce the cost of this unit by 1.
Unstoppable - The first time this unit is assigned damage this turn, prevent 1 of that damage and deal 1 damage to a target unit at this planet.",Martyr. Black Templars.,Army,Dutiful_Castellan,3,1,3,3,0,Chronicles of Heroes,Chronicles of Heroes,Unstoppable.,3
86,Fierce Purgator,Space Marines,Common,"While this unit has faith, it gains Retaliate (3).
Reaction: After this unit resolves its attack, deal 1 damage to a unit at this planet and each adjacent planet.

Editor's note: the 'Action' in the image is meant to read 'Reaction'",Soldier. Grey Knights.,Army,Fierce_Purgator,3,1,1,4,0,Chronicles of Heroes,Chronicles of Heroes,,3
87,Fighting Company Daras,Space Marines,Loyal,"Sweep (1).
Unstoppable - The first time this unit is assigned damage this turn, prevent 1 of that damage and this unit gains Retaliate (2) until the end of the phase.",Soldier. Black Templars.,Army,Fighting_Company_Daras,3,1,2,3,0,Bloodied Path Cycle,The Shadow in the Warp,Sweep.Unstoppable.,3
88,First Line Rhinos,Space Marines,Loyal,"No Wargear Attachments.
Reaction: After you deploy this unit, Rally 6 a non-Vehicle Space Marines unit with printed cost 3 or lower, attach it to this unit. When this unit leaves play, as an interrupt, put the attached unit into play exhausted at the same planet.",Vehicle. Ultramarines.,Army,First_Line_Rhinos,2,1,2,2,0,Defenders of the Faith,Defenders of the Faith,No Wargear Attachments.,3
89,Frenzied Wulfen,Space Marines,Loyal,"Retaliate (2).
Reaction: After this unit enters play, a target army unit at this planet is considered a warlord for your card effects.",Warrior. Mutant. Space Wolves.,Army,Frenzied_Wulfen,3,1,3,3,0,Bloodied Path Cycle,The Shadow in the Warp,Retaliate.,3
90,Grand Master Belial,Space Marines,Loyal,"Deep Strike (2).
Interrupt: When your Bloodied warlord is defeated, discard it, pay 1 RESOURCE and Deep Strike this unit to have it be considered a warlord. If it is defeated you lose the game.",Soldier. Dark Angels.,Army,Grand_Master_Belial,-1,0,2,6,0,Chronicles of Heroes,Chronicles of Heroes,Deep Strike.Unique.,3
91,Hjorvath Coldstorm,Space Marines,Loyal,"While this unit is at a planet with an enemy warlord it gets -2 ATK and -2 HP.
Interrupt: When your opponent triggers an ability that discards a card from your hand, put this unit into play at a planet. Then deal 1 damage to an enemy unit at that planet and draw a card.",Soldier. Space Wolves.,Army,Hjorvath_Coldstorm,1,1,3,3,0,Navida Prime Cycle,Aligned Stars,Unique.,3
92,Inspiring Sergeant,Space Marines,Loyal,"Retaliate (1).
Reaction: After this unit resolves its attack, a target unit at this planet gets +1 ATK and +1 HP until the end of the phase.",Soldier. Ultramarines.,Army,Inspiring_Sergeant,2,1,2,2,0,Chronicles of Heroes,Chronicles of Heroes,,3
93,Interceptor Squad,Space Marines,Common,"While this unit has faith, it gains Mobile.
Reaction: After a unit enters play at an adjacent planet, move this unit to that planet. Then you may deal 1 damage to that unit. (Limit once per phase.)",Soldier. Grey Knights.,Army,Interceptor_Squad,3,1,2,4,0,Chronicles of Heroes,Chronicles of Heroes,,3
94,Knight Paladin Voris,Space Marines,Loyal,"No Attachments. Lumbering. Retaliate (5).
Cannot be targeted.
Each other unit you control at this planet gets +1 ATK and +1 HP.",Questor Imperialis.,Army,Knight_Paladin_Voris,6,6,5,9,0,Chronicles of Heroes,Chronicles of Heroes,No Attachments.Retaliate.Lumbering.Unique.,3
95,Pinning Razorback,Space Marines,Common,"No Wargear Attachments.
Combat Action: A target enemy non-warlord unit at this planet cannot be declared as an attacker during your opponent's next combat turn this round. (Limit once per phase.)",Vehicle. Tank. Space Wolves.,Army,Pinning_Razorback,4,1,2,5,0,Navida Prime Cycle,Promise of War,No Wargear Attachments.,3
96,Prognosticator,Space Marines,Common,"While this unit has faith it gains 1 command icon.
Reaction: After a unit with faith you control is assigned damage, place 1 faith on an army unit at the same planet. (Limit once per round.)",Soldier. Grey Knights.,Army,Prognosticator,2,1,2,2,0,Chronicles of Heroes,Chronicles of Heroes,,3
97,Sanctified Aggressor,Space Marines,Common,"Cannot be damaged by Area Effect.
Reaction: After two or more warlords commit to this planet, gain 1 RESOURCE and place 1 faith on an army unit at this planet.",Soldier. Space Wolves.,Army,Sanctified_Aggressor,3,1,3,4,0,Chronicles of Heroes,Chronicles of Heroes,,3
98,Steadfast Sword Brethren,Space Marines,Common,"Unstoppable - The first time this unit is assigned damage this round, prevent 1 of that damage and another Black Templars unit you control gets +2 HP until the end of the phase.",Soldier. Black Templars.,Army,Steadfast_Sword_Brethren,4,1,3,4,0,Navida Prime Cycle,Breaching the Veil,Unstoppable.,3
99,Storming Librarian,Space Marines,Common,"Retaliate (1).
Reaction: After a combat round begins, deal 4 damage to each enemy unit at this planet attacked by this unit during the previous combat round.",Psyker. Ultramarines.,Army,Storming_Librarian,3,1,1,6,0,Chronicles of Heroes,Chronicles of Heroes,Retaliate.,3
100,Thunderwolf Cavalry,Space Marines,Common,Reaction: After an enemy warlord commits to an adjacent planet with a single army unit you control switch the location of that single unit with this unit.,Soldier. Space Wolves.,Army,Thunderwolf_Cavalry,3,1,3,3,0,Navida Prime Cycle,Overrun,,3
101,Wrathful Dreadnought,Space Marines,Loyal,"No Wargear Attachments.
Unstoppable - The first time this unit is assigned damage this turn, prevent 1 of that damage and a target army unit has its HP value set to 4 until the end of the phase.",Vehicle. Black Templars.,Army,Wrathful_Dreadnought,4,2,6,3,0,Chronicles of Heroes,Chronicles of Heroes,No Wargear Attachments.Unstoppable.,3
102,Call The Storm,Space Marines,Common,"Attach to a planet.
Combat Action: If there is no enemy warlord at this planet, exhaust this attachment to move a target enemy army unit at this planet to a planet with a Space Wolves unit you control.",Power. Space Wolves.,Attachment,Call_The_Storm,2,-1,-1,-1,1,Navida Prime Cycle,Aligned Stars,Unique.,3
